metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.001	0	1000	1000	1.010000	0.965000	0.500000	0.814029	2.054019e-01
cosine	0.001	1	2000	2000	1.960000	2.090000	0.500000	0.643229	1.153608e-01
cosine	0.001	2	4000	4000	3.950000	3.930000	0.500000	0.510670	6.390266e-02
cosine	0.001	3	8000	8000	7.775000	7.570000	0.500000	0.494203	2.709809e-02
cosine	0.001	4	16000	16000	15.905000	15.885000	0.500000	0.485155	1.331303e-02
cosine	0.001	5	32000	32000	31.730000	32.040000	0.500000	0.495991	6.271894e-03
cosine	0.001	6	64000	64000	65.055000	64.215000	0.500000	0.513076	3.082989e-03
cosine	0.001	7	128000	128000	128.340000	128.525000	0.500000	0.498025	1.484738e-03
cosine	0.001	8	256000	256000	254.335000	254.875000	0.500000	0.499425	7.215071e-04
cosine	0.001	9	512000	512000	511.835000	511.540000	0.500000	0.499991	3.843321e-04
