metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	100	0	1000	1000	425.028000	425.173000	0.300000	0.301688	4.203508e-04
cosine	100	1	2000	2000	524.907000	525.310000	0.300000	0.300339	4.204533e-04
cosine	100	2	4000	4000	624.643000	625.172000	0.300000	0.299970	3.684334e-04
cosine	100	3	8000	8000	725.116000	725.696000	0.300000	0.301189	3.655056e-04
cosine	100	4	16000	16000	825.188000	825.084000	0.300000	0.301973	3.213417e-04
cosine	100	5	32000	32000	925.261000	924.979000	0.300000	0.300952	2.917864e-04
cosine	100	6	64000	64000	1025.139000	1025.564000	0.300000	0.300413	2.701621e-04
cosine	100	7	128000	128000	1125.546000	1125.266000	0.300000	0.300615	2.468497e-04
cosine	100	8	256000	256000	1224.905000	1225.143000	0.300000	0.299480	2.331292e-04
cosine	100	9	512000	512000	1325.555000	1324.701000	0.300000	0.300266	2.210068e-04
