metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.25	0	1000	1000	30.405000	30.370000	0.100110	0.109522	3.090441e-03
jaccard	0.25	1	2000	2000	37.035000	37.150000	0.100110	0.108271	2.380993e-03
jaccard	0.25	2	4000	4000	44.010000	44.430000	0.099959	0.108689	2.182427e-03
jaccard	0.25	3	8000	8000	53.165000	52.970000	0.100034	0.097218	1.666542e-03
jaccard	0.25	4	16000	16000	63.980000	64.580000	0.099997	0.105340	1.285476e-03
jaccard	0.25	5	32000	32000	77.020000	76.675000	0.099997	0.099620	9.766185e-04
jaccard	0.25	6	64000	64000	91.955000	92.205000	0.099997	0.103484	9.196602e-04
jaccard	0.25	7	128000	128000	108.845000	108.955000	0.100001	0.102212	8.299876e-04
jaccard	0.25	8	256000	256000	130.170000	130.600000	0.099999	0.100032	6.196780e-04
jaccard	0.25	9	512000	512000	156.185000	155.595000	0.100000	0.099805	5.197507e-04
